propertyType,transactionType,furnished,address,rooms,bathrooms,surfaceArea,amenities,customAmenities,title,description,price (€)
house,selling,furnished,"Strada Lujerului 33, Sector 6, București",6,3,232.4,"['pet-friendly', 'garden', 'heating', 'balcony', 'wifi']",[],"House in Strada Lujerului 33, Sector 6, București","Spacious and well-located house in Strada Lujerului 33, Sector 6, București.",409439.45
loft,selling,partially-furnished,"Bulevardul Decebal 23, Sector 3, București",2,2,49.8,"['air-conditioning', 'pet-friendly', 'pool']",[],"Loft in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located loft in Bulevardul Decebal 23, Sector 3, București.",86242.04
penthouse,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",4,2,157.1,"['pet-friendly', 'dishwasher-washing', 'pool', 'balcony', 'parking']",[],"Penthouse in Strada Lujerului 33, Sector 6, București","Spacious and well-located penthouse in Strada Lujerului 33, Sector 6, București.",261076.05
loft,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",2,1,82.8,"['gym', 'dishwasher-washing']",[],"Loft in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located loft in Șoseaua Colentina 85, Sector 2, București.",141283.35
apartment,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",4,2,111.5,"['gym', 'pet-friendly', 'pool']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",195209.04
penthouse,selling,unfurnished,"Strada Aviației 10, Sector 1, București",5,2,195.8,"['gym', 'air-conditioning', 'garden', 'dishwasher-washing']",[],"Penthouse in Strada Aviației 10, Sector 1, București","Spacious and well-located penthouse in Strada Aviației 10, Sector 1, București.",437128.14
penthouse,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",5,3,194.8,"['air-conditioning', 'balcony']",[],"Penthouse in Strada Băneasa 12, Sector 1, București","Spacious and well-located penthouse in Strada Băneasa 12, Sector 1, București.",432591.82
house,selling,partially-furnished,"Șoseaua Colentina 85, Sector 2, București",6,4,222.5,"['gym', 'parking', 'heating', 'elevator', 'pet-friendly']",[],"House in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located house in Șoseaua Colentina 85, Sector 2, București.",403134.14
studio,selling,furnished,"Strada Băneasa 12, Sector 1, București",1,1,35.7,"['wifi', 'elevator', 'gym', 'heating', 'garden']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",72850.33
apartment,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",4,1,112.4,"['dishwasher-washing', 'air-conditioning', 'elevator', 'pool', 'wifi']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",163356.76
loft,selling,furnished,"Strada Rahova 89, Sector 5, București",3,2,119.8,"['elevator', 'garden', 'pet-friendly', 'parking', 'pool', 'balcony']",[],"Loft in Strada Rahova 89, Sector 5, București","Spacious and well-located loft in Strada Rahova 89, Sector 5, București.",154699.55
loft,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",2,2,55.5,"['gym', 'garden', 'elevator']",[],"Loft in Strada Băneasa 12, Sector 1, București","Spacious and well-located loft in Strada Băneasa 12, Sector 1, București.",117541.47
penthouse,selling,furnished,"Calea Moșilor 155, Sector 2, București",3,3,102.6,"['garden', 'dishwasher-washing', 'air-conditioning', 'pet-friendly', 'heating']",[],"Penthouse in Calea Moșilor 155, Sector 2, București","Spacious and well-located penthouse in Calea Moșilor 155, Sector 2, București.",184904.35
house,selling,furnished,"Strada Aviației 10, Sector 1, București",5,4,194.4,"['pet-friendly', 'air-conditioning', 'elevator', 'parking']",[],"House in Strada Aviației 10, Sector 1, București","Spacious and well-located house in Strada Aviației 10, Sector 1, București.",392200.87
penthouse,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",3,2,120.4,"['pool', 'pet-friendly', 'dishwasher-washing', 'gym', 'heating', 'elevator']",[],"Penthouse in Strada Lujerului 33, Sector 6, București","Spacious and well-located penthouse in Strada Lujerului 33, Sector 6, București.",194359.91
penthouse,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",4,3,150.7,"['air-conditioning', 'heating']",[],"Penthouse in Strada Lujerului 33, Sector 6, București","Spacious and well-located penthouse in Strada Lujerului 33, Sector 6, București.",235457.76
studio,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",1,1,39.0,"['heating', 'parking', 'pool']",[],"Studio in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located studio in Strada Turnu Măgurele 145, Sector 4, București.",61123.05
house,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",5,2,197.0,"['air-conditioning', 'heating', 'elevator', 'dishwasher-washing', 'gym', 'parking']",[],"House in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located house in Bulevardul Decebal 23, Sector 3, București.",335096.43
house,selling,furnished,"Strada Lujerului 33, Sector 6, București",4,2,171.4,"['gym', 'pet-friendly', 'pool', 'dishwasher-washing', 'balcony']",[],"House in Strada Lujerului 33, Sector 6, București","Spacious and well-located house in Strada Lujerului 33, Sector 6, București.",283537.56
studio,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",1,1,41.9,"['dishwasher-washing', 'pool', 'pet-friendly']",[],"Studio in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located studio in Șoseaua Colentina 85, Sector 2, București.",70617.91
loft,selling,partially-furnished,"Șoseaua Colentina 85, Sector 2, București",3,1,122.6,"['pet-friendly', 'parking', 'balcony', 'elevator']",[],"Loft in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located loft in Șoseaua Colentina 85, Sector 2, București.",220463.4
penthouse,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",3,3,116.1,"['pool', 'air-conditioning', 'parking']",[],"Penthouse in Strada Băneasa 12, Sector 1, București","Spacious and well-located penthouse in Strada Băneasa 12, Sector 1, București.",251942.89
penthouse,selling,furnished,"Strada Rahova 89, Sector 5, București",5,2,202.0,"['pool', 'pet-friendly']",[],"Penthouse in Strada Rahova 89, Sector 5, București","Spacious and well-located penthouse in Strada Rahova 89, Sector 5, București.",275271.62
